MODEL,USER,TOPIC 1 ,1,2,3,4,5,6,7,8,9,10,TOPIC 2,1,2,3,4,5,6,7,8,9,10,TOPIC 3,1,2,3,4,5,6,7,8,9,10,TOPIC 4,1,2,3,4,5,6,7,8,9,10,SIMULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,13,5,2,6,8,8,13,13,13,13,steroids,13,0,9,0,14,9,0,9,8,4,vaccine,1,0,1,6,0,7,1,2,5,8,crypto again,12,11,11,11,10,9,11,11,9,5,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,7,12,2,6,8,10,12,12,11,12,steroids,11,8,7,3,4,2,1,3,1,5,vaccine,1,0,0,1,5,0,5,0,5,4,crypto again,13,10,9,12,13,14,9,8,7,9,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,11,14,13,9,5,5,5,6,5,9,steroids,6,0,5,3,9,7,7,7,0,5,vaccine,6,2,5,0,4,0,4,5,3,1,crypto again,4,12,4,2,8,9,0,1,3,4,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,9,14,9,5,5,5,5,5,5,5,steroids,1,0,9,6,6,6,0,5,6,3,vaccine,1,0,3,0,3,1,3,0,3,4,crypto again,7,11,4,8,8,8,11,11,6,9,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,8,12,14,7,7,3,8,12,9,11,steroids,6,0,8,4,3,0,4,4,4,7,vaccine,1,1,1,2,0,0,1,4,1,2,crypto again,8,11,7,7,6,4,6,7,8,1,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,4,6,13,10,13,11,13,10,11,11,steroids,6,5,2,3,1,8,1,0,8,8,vaccine,1,0,1,2,3,2,0,0,6,1,crypto again,8,6,7,8,4,4,4,3,2,3,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,9,8,7,7,7,7,7,7,7,6,steroids,2,6,5,5,5,5,5,5,5,5,vaccine,0,0,2,1,4,0,2,3,1,1,crypto again,0,3,6,6,6,6,7,8,6,5,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,11,9,11,12,14,13,10,10,12,6,steroids,12,7,1,3,9,3,1,1,1,5,vaccine,1,0,3,6,4,4,4,4,4,3,crypto again,9,8,11,2,6,8,8,4,7,2,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,9,9,14,14,12,12,12,13,9,11,steroids,3,1,5,4,9,5,1,0,5,6,vaccine,0,1,0,0,0,5,3,6,7,4,crypto again,9,9,10,11,7,7,8,14,8,9,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,9,11,12,0,3,5,9,0,7,5,steroids,9,8,0,4,5,10,8,6,7,2,vaccine,0,0,3,0,0,3,3,5,6,0,crypto again,9,6,5,6,2,4,3,5,7,2,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watcher,anon,crypto,5,5,12,7,6,5,6,11,5,7,steroids,2,0,2,1,4,2,6,0,5,1,vaccine,0,0,0,0,3,2,2,3,4,2,crypto again,9,8,11,10,6,5,8,9,12,5,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
